id,name,category,description,price,sku,no_price,transaction_count
66b4d93dbcaa066bc344bb7d,DRUGTEST SCREENING,Drug Test,,300.0,DRUGTEST-DS,False,0
66b42a85336c3b523d8cce2b,ECG WITH READER'S FEE,ECG Services,na,285.0,ECG,False,8
66b42b8a336c3b523d8cce32,SPIROMETRY WITH POST BRONCHO DILATOR   WITH READER'S FEE,ECG Services,na,1320.0,ECG-SWPBDWRF,False,1
66b42b35336c3b523d8cce31,SPIROMETRY WITH READER'S FEE,ECG Services,na,1200.0,ECG-SWRF,False,1
669cb773a0de383df513c9ce,ABO/RH TYPING WITH REVERSE TYPING,Laboratory Services,Hematology,180.0,HEM-ATWRT,False,52
66b41935336c3b523d8ccde0,BUA,Laboratory Services,,150.0,LAB-BUA,False,97
66b41951336c3b523d8ccde2,BUN,Laboratory Services,,150.0,LAB-BUN,False,89
669cb5aea0de383df513c9b9,CBC w/ Platelet Count,Laboratory Services,Hematology,275.0,HEM-CBCWPC,False,134
66ce8df30036f46f183a5f05,COVID TEST,Laboratory Services,,450.0,COVID TEST,False,1
669cb6e6a0de383df513c9cb,CT/BT,Laboratory Services,Hematology,120.0,HEM-CT,False,2
66c3dec5a1cdda302151cee1,Calcium,Laboratory Services,,275.0,CALCIUM,False,1
66b419af336c3b523d8ccde3,Cholesterol,Laboratory Services,,150.0,LAB-CHOLESTEROL,False,105
66b41a26336c3b523d8ccde4,Creatinine,Laboratory Services,Creatinine level is not more than 1.4 for males,150.0,LAB-CREATININE,False,109
66c3ee55a1cdda302151cf20,Dengue Check NSI,Laboratory Services,,995.0,Dengue Check NSI,False,9
66b8bbf31e02b764b4bf6e8e,DvoteSample Lab,Laboratory Services,Sample only for QA and Docu,155.0,LAB-BASIC,False,0
669cb707a0de383df513c9cc,ESR,Laboratory Services,Hematology,120.0,HEM-ESR,False,5
66b4170b336c3b523d8ccdd6,Electrolytes,Laboratory Services,,960.0,ELECT-LAB-SER,False,22
66b41a61336c3b523d8ccde6,FBS + 2Hrs PBS,Laboratory Services,,150.0,LAB-FBS,False,61
66c3dea5a1cdda302151cedf,FBS/PPBS,Laboratory Services,,150.0,FBS,False,42
66b9cf411e02b764b4bf6ec9,FT3,Laboratory Services,,660.0,,False,2
66b9cf561e02b764b4bf6eca,FT4,Laboratory Services,,660.0,,False,3
66b42e6d336c3b523d8cce3c,Fecalysis,Laboratory Services,,85.0,LAB-FECA,False,22
66c53266b92fbf965079b927,HBA1C Year Promo,Laboratory Services,,840.0,HBA1C Year Promo,False,14
669ccea3a0de383df513caa9,HBsAg SCREENING,Laboratory Services,Serology,330.0,SER-HBsAg SCREENING,False,24
66b41ac7336c3b523d8ccde7,HDL/LDL,Laboratory Services,,275.0,LAB-HDL,False,95
669cb6a1a0de383df513c9c9,HGB/HCT,Laboratory Services,Hematology,75.0,HEM-HGB,False,3
66c3ee73a1cdda302151cf21,HIV TEST Screening,Laboratory Services,,500.0,HIV TEST Screening,False,4
66b9d0061e02b764b4bf6ece,LDH,Laboratory Services,,660.0,,False,0
66ce81860036f46f183a5eea,LIPID PROFILE -REG,Laboratory Services,,690.0,LIPID PROFILE -REG,False,8
66c589070036f46f183a5e8a,OGTT,Laboratory Services,,745.0,OGTT,False,4
66c5909e0036f46f183a5eb1,Occult Blood,Laboratory Services,,175.0,OCCULT-BLOOD,False,1
669cb733a0de383df513c9cd,PERIPHERAL SMEAR W/READING,Laboratory Services,Hematology,200.0,HEM-PSWR,False,6
66d003aa0036f46f183a5f92,PHARMA (BETALIFE),Laboratory Services,,255.0,PHARMA (BETALIFE),False,1
669cb6c0a0de383df513c9ca,PLATELET COUNT,Laboratory Services,Hematorlogy,120.0,HEM-PC,False,9
66b9cff61e02b764b4bf6ecd,PSA,Laboratory Services,,900.0,,False,1
669ccec7a0de383df513caaa,RA FACTOR,Laboratory Services,Serology,540.0,SER-RA FACTOR,False,
66b41afb336c3b523d8ccde8,SGOT / AST,Laboratory Services,,240.0,LAB-SGOT,False,88
66b41c10336c3b523d8ccdea,SGPGT / ALT,Laboratory Services,,240.0,LAB-SGPGT,False,115
